Sport;Season;Type of Competition;Venue;Equipment;Skill;Environment/Terrain;Scoring Method
Cycling Mountain Bike;Summer;Racing;Outdoor;Mountain Bike;Speed/Endurance/Strength/Navigation;Ground;Time
Cycling Road;Summer;Racing;Outdoor;Road Bike;Speed/Endurance/Strength/Strategy;Ground;Time
Cycling Track;Summer;Racing;Indoor;Track Bike;Speed/Endurance/Strength/Precision;Ground;Time/Points
Diving;Summer;Artistic;Indoor;None;Precision/Strength/Coordination/Tricks;Water;Judges' Scores
Equestrian;Summer;Multi-discipline;Indoor/Outdoor;Horse;Riding/Precision/Coordination/Synchronization;Ground;Judges' Scores/Time
Fencing;Summer;Combat;Indoor;Sword;Precision/Speed/Agility/Strategy;Ground;Points
Figure Skating;Winter;Artistic;Indoor;Skates;Skating Skills/Precision/Dance/Tricks;Ice;Judges' Scores
Flag Football;Summer;Ball;Outdoor;Football;Speed/Throwing/Teamwork/Strategy;Ground;Points
Football;Summer;Ball;Outdoor;Football;Speed/Precision/Teamwork/Strategy;Ground;Goals
Freestyle Skiing;Winter;Artistic;Outdoor;Skis;Speed/Precision/Tricks/Coordination;Snow;Judges' Scores
Futsal;Summer;Ball;Indoor;Football;Speed/Precision/Teamwork/Strategy;Ground;Points
Golf;Summer;Target;Outdoor;Clubs/Ball;Precision/Strategy/Coordination/Endurance;Ground;Strokes/Points
Handball;Summer;Ball;Indoor;Handball;Speed/Throwing/Teamwork/Strategy;Ground;Points
Hockey;Summer;Ball;Outdoor;Stick/Ball;Speed/Precision/Teamwork/Strategy;Ground;Goals
Ice Hockey;Winter;Ball;Indoor;Stick/Puck;Strength/Precision/Teamwork/Strategy;Ice;Goals
Judo;Summer;Combat;Indoor;Sport specific clothing;Strength/Grappling/Coordination/Strategy;Ground;Points/Ippon
Karate;Summer;Combat;Indoor;Sport specific clothing;Speed/Strength/Precision/Coordination;Ground;Points
Lacrosse;Summer;Ball;Outdoor;Stick/Ball;Speed/Precision/Teamwork/Strategy;Ground;Goals
Luge;Winter;Racing;Outdoor;Luge;Speed/Precision/Coordination/Strength;Ice;Time
Marathon Swimming;Summer;Racing;Outdoor;Goggles;Endurance/Speed/Strength/Coordination;Water;Time
Modern Pentathlon;Summer;Multi-discipline;Indoor/Outdoor;Horse/Sword/Firearms;Endurance/Speed/Precision/Strategy;Water;Points
Nordic Combined;Winter;Racing;Outdoor;Skis;Endurance/Speed/Skiing Skills/Precision;Snow;Time
Rhythmic Gymnastics;Summer;Artistic;Indoor;Rope/Hoop/Ball/Clubs/Ribbon;Balance/Precision/Dance/Tricks;Ground;Judges' Scores
Roller Speed Skating;Summer;Racing;Outdoor;Skates;Speed/Agility/Coordination/Endurance;Ground;Time
Rowing;Summer;Racing;Outdoor;Boat;Endurance/Strength/Synchronization/Coordination;Water;Time
Rugby Sevens;Summer;Ball;Outdoor;Rugby Ball;Speed/Strength/Teamwork/Strategy;Ground;Points
Sailing;Summer;Racing;Outdoor;Boat;Precision/Strategy/Navigation/Coordination;Water;Time
Shooting;Summer;Target;Indoor/Outdoor;Firearms;Precision/Accuracy/Strategy/Coordination;Ground;Points
Short Track Speed Skating;Winter;Racing;Indoor;Skates;Speed/Precision/Coordination/Agility;Ice;Time
Skateboarding;Summer;Artistic;Outdoor;Skateboard;Tricks/Precision/Agility/Coordination;Ground;Judges' Scores
Skeleton;Winter;Racing;Outdoor;Skeleton Sled;Speed/Precision/Strength/Coordination;Ice;Time
Ski Jumping;Winter;Jumping;Outdoor;Skis;Precision/Agility/Strength/Coordination;Snow;Distance
Ski Mountaineering;Winter;Racing;Outdoor;Skis;Endurance/Strength/Navigation/Speed;Snow;Time
Snowboard;Winter;Artistic/Racing;Outdoor;Snowboard;Tricks/Speed/Precision/Agility;Snow;Time/Judges' Scores
Speed Skating;Winter;Racing;Indoor;Skates;Speed/Precision/Endurance/Coordination;Ice;Time
Sport Climbing;Summer;Climbing;Indoor/Outdoor;Climbing Gear;Strength/Precision/Agility/Endurance;Ground;Time/Points
Squash;Summer;Racquet;Indoor;Racquet/Ball;Speed/Precision/Strategy/Endurance;Ground;Points
Surfing;Summer;Artistic;Outdoor;Surfboard;Precision/Balance/Agility/Coordination;Water;Judges' Scores
Swimming;Summer;Racing;Indoor;Goggles;Speed/Endurance/Strength/Precision;Water;Time
Table Tennis;Summer;Racquet;Indoor;Paddle/Ball;Speed/Precision/Strategy/Coordination;Ground;Points
Taekwondo;Summer;Combat;Indoor;Sport specific clothing;Speed/Strength/Precision/Coordination;Ground;Points
Tennis;Summer;Racquet;Indoor/Outdoor;Racquet/Ball;Speed/Precision/Strategy/Coordination;Ground;Points
Trampoline;Summer;Artistic;Indoor;Trampoline;Precision/Strength/Coordination/Tricks;Ground;Judges' Scores
Triathlon;Summer;Multi-discipline;Outdoor;Goggles/Bicycle;Endurance/Speed/Strength/Coordination;Water;Time
Volleyball;Summer;Ball;Indoor;Volleyball;Speed/Precision/Teamwork/Coordination;Ground;Points
Water Polo;Summer;Ball;Indoor;Water Polo Ball;Strength/Throwing/Teamwork/Endurance;Water;Points
Weightlifting;Summer;Strength;Indoor;Weights;Strength/Precision/Coordination/Endurance;Ground;Weight
Wrestling;Summer;Combat;Indoor;None;Strength/Grappling/Strategy/Endurance;Ground;Points
